809692712	2020-05-25T23:35:05.000Z	1265063871435485186	 Also just reinforces my absolute hatred for most of the wedding services industry.	{'place_id': '82a4f68b3d515bec'}
3764929635	2020-05-25T23:28:09.000Z	1265062126160211969	 Look like you're going to Church in the Bedroom.	{'place_id': '011add077f4d2da3'}
2839051893	2020-05-25T23:10:15.000Z	1265057623373742080	 I’d love to believe this is true but you KNOW there would be people saying “well I wouldn’t be able to get to the concert I wanted to without taking that road!”	{'place_id': '01a9a39529b27f36'}
152448004	2020-05-25T22:58:36.000Z	1265054690187907072	"The idea that you can do whatever you want bc this is ""a free country"" is what kept/keeps the US from fixing this fasterWHITE American rugged individualism and exceptionalism 🤢🤢🤢 y'all are about to ""manifest destiny"" 0 million people to death just bc you want to bbq."	{'place_id': '01a9a39529b27f36'}
403771515	2020-05-25T22:53:32.000Z	1265053417501863942	If you’re reading this & newly engaged, please heed: Elope - don’t have a big wedding. Sincerely, anyone who has ever planned a big wedding	{'place_id': '01a9a39529b27f36'}
377685134	2020-05-25T22:52:35.000Z	1265053177096912903	The Wedding cake gonna be a edible and im not warning not a damn soul 🥴💀I should have done this in DR last year it would have been a movie 😭😂	{'place_id': '6813a7d84bf141d5'}
499360980	2020-05-25T22:47:12.000Z	1265051821330124805	Just bought a new suit so wedding szn wya?	{'place_id': '011add077f4d2da3'}
1159882047952949248	2020-05-25T22:43:39.000Z	1265050929419649026	 What happened to going to church ⛪️	{'place_id': '011add077f4d2da3'}
23486364	2020-05-25T21:31:37.000Z	1265032802548006914	I’ll probs just wear it to my sisters wedding tbh. Good excuse.	{'place_id': 'e9143a85705b4d40'}
299975120	2020-05-25T21:26:34.000Z	1265031531522920449	 Going to open a glass of wine in a bit. Got nothing in to bbq. But plan to bbq next weekend	{'place_id': '011add077f4d2da3'}
14576844	2020-05-25T21:16:25.000Z	1265028977082740743	 on our 0th Wedding Anniversary    @ Stuyvesant Town–Peter Cooper Village 	{'coordinates': {'type': 'Point', 'coordinates': [-73.97777778, 40.73166667]}, 'place_id': '01a9a39529b27f36'}
172834544	2020-05-25T20:50:49.000Z	1265022533750927360	My quarantine self on Memorial Day is about to pull a Liz Lemon and buy a wedding gown just because it’s on sale (and spread it across a few different cards)	{'place_id': '011add077f4d2da3'}
2727600054	2020-05-25T20:25:07.000Z	1265016067396640768	Dressed to the 0’s!            🤰🏽👶🏽  🐾  💍 … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.68255, 40.69435]}, 'place_id': '4bfbb13bd35cf5e0'}
2727600054	2020-05-25T20:19:49.000Z	1265014729510203396	Beautiful  ❤️                      🤰🏽👶🏽  🐾  💍 … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.68255, 40.69435]}, 'place_id': '4bfbb13bd35cf5e0'}
133027300	2020-05-25T20:19:11.000Z	1265014572479655936	Wow. Human interaction is now  like going to the mall when you’re 0 without your parents.	{'place_id': '002e24c6736f069d'}
87475783	2020-05-25T20:06:59.000Z	1265011501016002561	Our story from this morning.... Some good tips if you decide to go shopping. 	{'place_id': '01a9a39529b27f36'}
2822946202	2020-05-25T19:57:44.000Z	1265009173651165184	Ridiculous, plastic pods those New Yorkers were wearing to have a party with their family, everybody separated in plastic tents ,this is really getting fucking ridiculous and very dangerous. That's not how life is supposed to be, wake up, they told us a bunch of bulshit	{'place_id': '00c39537733fa112'}
2727600054	2020-05-25T19:42:30.000Z	1265005338836811777	Getting thru a lot of pics I needed to upload.          🤰🏽👶🏽  🐾  💍 … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.68255, 40.69435]}, 'place_id': '4bfbb13bd35cf5e0'}
58531260	2020-05-25T19:30:40.000Z	1265002360574824451	Happy Memorial Day and... happy our 0th anniversary ❤️Thank you jimmyhelltone for everything. I am so lucky to have you in my life! Love you my bear man 🐻 Special thx to davi_russo for the great pics for our wedding… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
131200669	2020-05-25T19:10:53.000Z	1264997386021146624	NYC VideographerStealthStarStudios ©0-0Artist Rising Environment ©0-0Shot By: Stealth StarModel: FrancizCamera: Canon T0INEED A VIDEO?Music Video (all genres), Wedding, Birthday, Commercial,… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
545334910	2020-05-25T19:04:12.000Z	1264995701777465345	I can’t wait to go shopping.	{'place_id': '94542c3c348faf28'}
55008355	2020-05-25T19:01:33.000Z	1264995036384694272	Updated: Incident on  Both directions from 0th Street-Jamaica Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.784558, 40.712548]}, 'place_id': '00c39537733fa112'}
16732171	2020-05-25T18:52:47.000Z	1264992827232174080	Congratulations, Marquis Who’s Who, for nominating the mail folder/name I created a few years ago for wedding spam.    	{'place_id': '011add077f4d2da3'}
468909822	2020-05-25T18:50:04.000Z	1264992145091461123	I really just wanna get a haircut, go to the gym and amusement parks. You can close everything else idgaf	{'place_id': '002e24c6736f069d'}
1051847108523950080	2020-05-25T17:38:45.000Z	1264974199107596288	That how I want to get eat out right now 	{'place_id': '011add077f4d2da3'}
2578815366	2020-05-25T17:22:27.000Z	1264970096180695041	Didn’t want these but this a perfect example of how niggas be losing out on drip for cornballs to do shit like this or putting ice cream in a shoe and eating out of it.. I really hate to see it 	{'place_id': '002e24c6736f069d'}
19930043	2020-05-25T17:14:49.000Z	1264968174526763008	 Not done yet, up to the Kelly and Kenny wedding (which I don’t even know why they even bothered with). Jessica deserves whatever happens to her.And I will watch the reunion, I love this entire cast except Jessica.	{'place_id': '01a9a39529b27f36'}
1227318957067116546	2020-05-25T16:15:29.000Z	1264953243064586243	😭😭😭 be mad sl wondering why a nigga taking so long find out later nigga got bagged busting a sale when you sent him to the store for a drink wrap and bag of chips 😭😭😭 	{'place_id': 'b046074b1030a44d'}
15664858	2020-05-25T16:04:04.000Z	1264950370918445056	I got to be honest with you this is what it’s like to go to the movies on Staten Island.	{'place_id': '01a9a39529b27f36'}
50706690	2020-05-25T16:03:18.000Z	1264950176839602179	Updated: Incident on  Both directions from Court Square Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.944422, 40.746397]}, 'place_id': '00c39537733fa112'}
55009342	2020-05-25T16:03:18.000Z	1264950174998298624	Updated: Incident on  Both directions from Court Square Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.944422, 40.746397]}, 'place_id': '00c39537733fa112'}
50706690	2020-05-25T15:00:21.000Z	1264934333594378240	Updated: Incident on  Both directions from 0th Street-Jamaica Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.784558, 40.712548]}, 'place_id': '00c39537733fa112'}
191334158	2020-05-25T14:07:21.000Z	1264920996684980232	more hungover from zoom chats than i would be if I had actually gone out to a bar.	{'place_id': 'dc4ad595a56393ac'}
76380259	2020-05-25T13:32:41.000Z	1264912271253348354	 It would be a perfectly dishonest bookend to the party of honest Abe	{'place_id': '000829b517fc66b2'}
3764929635	2020-05-25T13:32:27.000Z	1264912216416907265	 These are the best Wedding photos !!	{'place_id': '011add077f4d2da3'}
27908283	2020-05-25T13:05:31.000Z	1264905438002323457	I think all you trumpsters should all get together & party, hug, kiss  & invite your fearless leader  to the party. Enjoy you fearless trumpsters 😂😂😂 	{'place_id': '777dd5b3b30a625e'}
1160064121	2020-05-25T12:17:36.000Z	1264893377075728384	  He doesn't go to Church.  He doesn't believe in God.  If he did, he wouldn't break most of the Commandments	{'place_id': '00c39537733fa112'}
50384675	2020-05-25T12:00:09.000Z	1264888984926380034	  sorry I’m late to the party, but that 0 impression gives me fucking chills. Well done.	{'place_id': '01a9a39529b27f36'}
50706690	2020-05-25T11:02:42.000Z	1264874527525408769	Updated: Incident on  Both directions from 0th Street-Jamaica Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.784558, 40.712548]}, 'place_id': '00c39537733fa112'}
55008355	2020-05-25T06:57:14.000Z	1264812754118021120	Updated: Incident on  Both directions from 0th Street-Jamaica Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.784558, 40.712548]}, 'place_id': '00c39537733fa112'}
50706690	2020-05-25T06:57:13.000Z	1264812751664238592	Updated: Incident on  Both directions from 0th Street-Jamaica Station to Church Avenue Station 	{'coordinates': {'type': 'Point', 'coordinates': [-73.784558, 40.712548]}, 'place_id': '00c39537733fa112'}
