91916908	2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
2165349603	2021-03-15T23:19:55.000Z	1371602087902023680	 Thinking of eating out?	{'place_id': 'b87b05856ab8dbd8'}
226777684	2021-03-15T23:06:18.000Z	1371598662191697920	I know I’m late to the party and all but Kacey Musgraves is so fucking good😭😭🥺🥺	{'place_id': '01a9a39529b27f36'}
1291608458156965888	2021-03-15T22:56:22.000Z	1371596161581264897	Proud of myself for getting to the gym today	{'place_id': '01a9a39529b27f36'}
289561555	2021-03-15T22:41:00.000Z	1371592294705594369	don't! go! shopping! if! you! have! a! close! covid! contact!how hard is it to order online and get it delivered????	{'place_id': 'd005216d96068a62'}
227622905	2021-03-15T22:10:48.000Z	1371584692030439429	I’m gone just go to the gym chile 😤	{'place_id': '01a9a39529b27f36'}
710111395	2021-03-15T21:54:22.000Z	1371580556887134213	"And so it begins:The mainstreaming of reporting your parents to authorities for ""treatment"" if they refuse accepting liberal order & narrative.Next, parents will be charged with child abuse for taking kids to church.We truly are in the last days."	{'place_id': 'a227c629b631eea2'}
57141228	2021-03-15T21:19:04.000Z	1371571676857651203	Telling my parents that I don’t want a big wedding 😭😭	{'place_id': '011add077f4d2da3'}
15009595	2021-03-15T20:51:16.000Z	1371564680481738760	Dear Rabbi Taub,My wife always tells me not to take neggel vasser cup as a wedding keepsake. Can you please explain to her that it's normal. I've been doing it for years!- Chevremon 	{'place_id': '011add077f4d2da3'}
34966443	2021-03-15T20:20:56.000Z	1371557044642271234	Did NeNe not go to Cynthia’s wedding?	{'place_id': '002e24c6736f069d'}
446350482	2021-03-15T20:17:13.000Z	1371556107777421315	.  welcome to the party. 🎉GIVE MY GUY A FOLLOW FOR GREAT CONTENT 🎥 	{'place_id': 'c5e2e95296cb121d'}
1159882047952949248	2021-03-15T20:03:08.000Z	1371552566912323587	  Yeah but he did it in public at a wedding with a whole crowd around all drinking and celebrating 🥳 How dare he 😂😂😂😂	{'place_id': '011add077f4d2da3'}
14162949	2021-03-15T19:49:00.000Z	1371549009618288644	Tuesday, March 0: The Behavioral Economics NYC Meetup presents Positive money – applying psychology to individual finances with Kim Stephenson        	{'place_id': '01a9a39529b27f36'}
22730752	2021-03-15T19:30:13.000Z	1371544282318917635	“How come you stopped going to church, George?”How much time do you have? 	{'place_id': '01a9a39529b27f36'}
867960001876250625	2021-03-15T18:55:51.000Z	1371535632355430413	The time I went on a date with a guy I really liked and went on a full 0 min tangent about how god doesn’t exist and religion is a cancer on the world and then he was like “I’m an ordained minister” 	{'place_id': '011add077f4d2da3'}
702160152	2021-03-15T18:03:41.000Z	1371522506708897793	Hey  the only  we need we got at our big  🌈  surrounded by ❤️    and  in a  🇵🇭 That was the best blessing of all.  💍💍  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.98566, 40.73852]}}
1213729044820160512	2021-03-15T17:48:35.000Z	1371518705784475654	 the problem is that she didn',t play the game of the royal family and they got rid of her. They basically threw her to the dogs and told her to get lost. The scary part is that they also  threw prince harry away too	{'place_id': '011add077f4d2da3'}
1240618966457909248	2021-03-15T17:37:16.000Z	1371515856300179456	my mom is on a date at the Met Museum with her handyman and I guess I should stop calling him her handyman cause they been goin on since Christmas 🥴🥴🥴	{'place_id': '011add077f4d2da3'}
85736442	2021-03-15T17:04:25.000Z	1371507588324593665	One of my friends need to talk me on a date. .. don’t all speak at once LOL	{'place_id': '011add077f4d2da3'}
2592345211	2021-03-15T16:57:06.000Z	1371505750577713156	idk about anyone else but I’m so ready to be able to go to a concert	{'place_id': 'bceb8153865c4a49'}
921202349137453056	2021-03-15T15:12:00.000Z	1371479301045026819	New Blog Post: When you love your dogs like family, how could they not be a part of your special day?🦴🐾🐶         	{'place_id': '27485069891a7938'}
1280697297190486016	2021-03-15T15:10:37.000Z	1371478952670343172	“Wanna go to target?” - me asking you on a date..	{'place_id': '01a9a39529b27f36'}
32666997	2021-03-15T14:49:19.000Z	1371473590609186817	    We gotta get a  meetup w  as our special guest! He’ll fit right in w the jersey! ❤️	{'place_id': '01a9a39529b27f36'}
352580700	2021-03-15T14:34:25.000Z	1371469841564119042	Cynthia wanted this wedding so bad that she really thought this was necessary	{'place_id': '01a9a39529b27f36'}
45955056	2021-03-15T14:25:34.000Z	1371467612799000580	just started last night’s RHOA and... ok Cynthia i get why you ordered food but... Papa John’s for a wedding rehearsal dinner?! EL COLMO	{'place_id': '002e24c6736f069d'}
1159882047952949248	2021-03-15T13:39:10.000Z	1371455938910126082	  Yeah but let’s crucify Governor Cuomo who Saved 0s of lives because he touched a woman’s face at a wedding in full view of everyone 😩😩😩😩😩😩😩😩😩😩	{'place_id': '011add077f4d2da3'}
57141228	2021-03-15T12:40:54.000Z	1371441274507694082	Why have a party on a Sunday when there’s work on Monday 😫😫😫😫😫😫😫😫😫😫?	{'place_id': '011add077f4d2da3'}
1233908904079298567	2021-03-15T06:04:46.000Z	1371341585678528513	 A wedding dress	{'place_id': '01a9a39529b27f36'}
62862846	2021-03-15T05:24:51.000Z	1371331536956518403	I wanna go on a date soon I forgot what that feels like / don’t really know what’s it’s like	{'place_id': '00c39537733fa112'}
1008824842123169792	2021-03-15T04:59:28.000Z	1371325150206029824	Still Not Over This 🤯 The Way That Porsha Had Slayed This Look At Cynthia’s Wedding Is Definitely An Top Tier Moment Of The Season 🖤  	{'place_id': '23a06e5cc6d83009'}
288556567	2021-03-15T04:49:17.000Z	1371322589684064257	The couples on  live in two bedroom apartments with three kids, no kitchen island, and one bathroom but are like.... the wedding tho 👀	{'place_id': '01a9a39529b27f36'}
1033279772	2021-03-15T04:42:14.000Z	1371320814075846656	Cynthia and this wedding ... SMH 	{'place_id': '00c39537733fa112'}
428157379	2021-03-15T03:44:36.000Z	1371306308528390145	Of course Electric Circus era Common went on a date with Lynn. 	{'place_id': '01a9a39529b27f36'}
2370285563	2021-03-15T02:17:20.000Z	1371284346749980672	Bruh I tried cracking an egg with my bicep challenge that shit went nowhere lmao. Back to the gym I go	{'place_id': '00c39537733fa112'}
3989832099	2021-03-15T02:09:05.000Z	1371282272930914306	This was the best  yet!! So many different and complex suspects! I can’t believe I got at least one suspect! But it wasn’t easy! Can’t wait until the next one! And especially the Wedding! 	{'place_id': '002e24c6736f069d'}
938572832082030592	2021-03-15T02:01:47.000Z	1371280436413005825	 I believe that AP actually was a wedding singer before he was discovered 	{'place_id': '011add077f4d2da3'}
50179868	2021-03-15T01:45:16.000Z	1371276278314188803	The thot dress with the tights in case you need to go to church. I see the vision.	{'place_id': '01a9a39529b27f36'}
534776688	2021-03-15T01:38:37.000Z	1371274602811437057	Oooohhhh nooooo!! Poor Natalie! ☹️ I think she had a feeling deep down that the wedding wasn’t going to go on... what bride asks her groom the night before “is it going to happen?” And he REALLY never answered... 🤔 💔  	{'place_id': '00c39537733fa112'}
43775786	2021-03-15T01:25:31.000Z	1371271306705051652	Every year I say the same thing.  Bruno Mars would be best wedding band ever	{'place_id': '01a9a39529b27f36'}
1343332208598265856	2021-03-15T01:12:32.000Z	1371268041334489094	 you lock Florida down your going to ruin my sisters wedding !. You need to go now !.	{'place_id': '7c09539af94ab80b'}
1343332208598265856	2021-03-15T01:11:16.000Z	1371267721334251525	 you lock Florida down your gonna ruin my sisters wedding you need to go biden !. I didn't know that you were gonna sell Americans out	{'place_id': '7c09539af94ab80b'}
1343332208598265856	2021-03-15T01:10:10.000Z	1371267445298696200	   I have to go for my sisters wedding biden is gonna try to ruin my sisters wedding biden needs to go !.	{'place_id': '7c09539af94ab80b'}
135153863	2021-03-15T00:57:43.000Z	1371264313479020546	REMEMBER WHEN THAT GIRL TOOK A HUGE BONG RIP BEFORE HER WEDDING AND PEOPLE WERE GETTING MAD AT PEOPLE SAYING SHE WAS ADDICTED TO WEED	{'place_id': '011add077f4d2da3'}
705398672146698240	2021-03-15T00:57:17.000Z	1371264201126244356	planning a wedding while depressed is interesting lol	{'place_id': '011add077f4d2da3'}
2352740292	2021-03-15T00:52:01.000Z	1371262875948441604	Now Bravo, y’all know better for airing somebody else’s conversation like that 😂 I’m sure y’all had them signing release forms before the wedding though lol 	{'place_id': '011add077f4d2da3'}
32692734	2021-03-15T00:50:05.000Z	1371262391317630977	I liked the reception dress better than the wedding dress 	{'place_id': '011add077f4d2da3'}
382742209	2021-03-15T00:34:29.000Z	1371258463091838977	I opted to rewind and watch the nieces party again vs dive into Cynthias wedding   	{'place_id': '011add077f4d2da3'}
2990553064	2021-03-15T00:25:17.000Z	1371256149786382338	Late to the party but just finished American Gods season one- crazy good	{'place_id': '000829b517fc66b2'}
266908590	2021-03-15T00:08:10.000Z	1371251844182372353	Wendy Williams was right about this wedding...  	{'place_id': '011add077f4d2da3'}
3989832099	2021-03-15T00:07:07.000Z	1371251578217324546	OMG! Cake tasting! 0 month til the wedding!       	{'place_id': '002e24c6736f069d'}
39675591	2021-03-16T23:57:03.000Z	1371973822103097351	I remember going to my friends wedding and crying ode I can only imagine when I get married ima justin timberlake	{'place_id': '002e24c6736f069d'}
1332702776091095047	2021-03-16T22:13:56.000Z	1371947872380465154	 This is too foil. There was a lady in my own who took tin foil and made 0 big balls and shoved them by her ass in her stretch pants.  Then went to a bar sat under a flood light😛	{'place_id': '2a9fc003f4101a1d'}
64316020	2021-03-16T22:03:15.000Z	1371945179905675267	Getting to the gym after 0 is the literal worst	{'place_id': '5a700e3c73cbf9b9'}
319355917	2021-03-16T21:56:58.000Z	1371943600813174794	Some girls wear matching sports bras and leggings to the gym. I’m wearing a 0 warped tour shirt, we are not the same	{'place_id': 'b046074b1030a44d'}
1281344920423456770	2021-03-16T21:24:59.000Z	1371935551323004930	Saturday! Join neighbors to spruce up Ave B & the park. 🍂🧹🗑Meetup at 0pm outside  at noon for some free  ☕️ to get you energized.     	{'place_id': '01a9a39529b27f36'}
9313032	2021-03-16T20:56:08.000Z	1371928291192487940	 I enjoy that I own  . I redirect it to whatever friend is getting married next. It’s half to get pumped for their wedding and half so I never have to remember their custom url.	{'place_id': '011add077f4d2da3'}
18733470	2021-03-16T20:00:58.000Z	1371914407106732037	I stopped dating a dude bc he wore cargo shorts on a date...so this may be cultural 😂 	{'place_id': '011add077f4d2da3'}
27935170	2021-03-16T19:53:06.000Z	1371912427546218499	 Im headed to the gym!	{'place_id': '01a9a39529b27f36'}
160431581	2021-03-16T19:42:42.000Z	1371909809759531010	 Just wait until the wedding. 🙃😳😉	{'place_id': '65e3a577f1940550'}
1666381352	2021-03-16T18:40:21.000Z	1371894120826953736	who wants to ruin a wedding with me ?	{'place_id': '01a9a39529b27f36'}
23563955	2021-03-16T18:29:30.000Z	1371891391400448002	Rodney KingOJClinton impeachment Princess DiWacoJeffrey DahmerDolly the SheepBritney Spears’ debutCory & Topanga’s wedding “What is Internet”Zack and Kelly breaking upNano Pets vs. Tamagotchis 	{'place_id': '7356b662670b2c31'}
1167980741197795328	2021-03-16T18:03:19.000Z	1371884798726311936	LET’S GO TO THE MOVIES!!! 	{'place_id': '00c39537733fa112'}
2723970378	2021-03-16T18:01:16.000Z	1371884286131986432	Burton Catholic Wedding with Tipi Reception, Rolleston-on-Dove - Staffordshire  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
85736442	2021-03-16T17:32:26.000Z	1371877028719366153	One of my friends is finally taking me on a date. Mojito me please	{'place_id': '011add077f4d2da3'}
126383093	2021-03-16T17:03:48.000Z	1371869824419201024	Wedding at The Palace with  &  on 🎹•Our Team:    ••          	{'coordinates': {'type': 'Point', 'coordinates': [-73.978319, 40.635017]}, 'place_id': '011add077f4d2da3'}
299713797	2021-03-16T17:01:20.000Z	1371869203582570503	0AM might be the perfect time to go to the gym it was really just me and my reflection in there 	{'place_id': '011add077f4d2da3'}
2532695886	2021-03-16T16:56:29.000Z	1371867982830432256	My married roommates where just talking about getting wedding rings and Ellie goes “gold rings look tacky” and Will says “It looks good on Frodo”	{'place_id': '011add077f4d2da3'}
1364025762823757825	2021-03-16T15:48:51.000Z	1371850962160259076	"Bust down thottiana. Then be wanting marriage afterwards. Like I got it out my system. Loose pussy ass hoe. Fuck out my face. No I'm not tryna marry. You is unholy--""No I'm not I read the Bible and go to church I just need extra cash to pay tuition."" "	{'place_id': '3e5bc38bcc04fa30'}
223038317	2021-03-16T15:39:07.000Z	1371848509608103938	Susan said YESSSS to her rustic garland wedding mock up! Simplicity is bliss she said...all I could say in my mind...I want more ROSES...the things I fight myself about! @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
171180702	2021-03-16T15:36:11.000Z	1371847774665314312	"Last night was a massive Lehasig gathering for the שבע ברכות in honor of my daughter's wedding. It was so wonderful to so many members and graduates b""h!     @ Fairfield, New Jersey "	{'coordinates': {'type': 'Point', 'coordinates': [-74.2809599, 40.88611]}, 'place_id': '65b4760a2b411e11'}
22998150	2021-03-16T15:20:53.000Z	1371843922322993161	I wonder if jumbo  are from chickens that go to the gym. 🥚 🐓 	{'place_id': 'b87b05856ab8dbd8'}
1236123993511522304	2021-03-16T15:17:33.000Z	1371843085366362112	Bout to fold laundry then go to the gym my productivity producin today yuh 	{'place_id': '01a9a39529b27f36'}
480731260	2021-03-16T15:10:38.000Z	1371841345149620228	I’ve went to the gym everyday this week where’s my abs?	{'place_id': '00c55f041e27dc51'}
480731260	2021-03-16T14:51:31.000Z	1371836534400425986	My legs tell me not to go the gym but my stomach says I need to go to the gym	{'place_id': '00c55f041e27dc51'}
111505259	2021-03-16T14:45:01.000Z	1371834895409029123	  drop ur bag off. grab food. massage. go to the gym/pool. link a friend.	{'place_id': '011add077f4d2da3'}
1345080971956277255	2021-03-16T14:32:43.000Z	1371831801900064775	 Loooool that bright silicone band?! Oh no 😭 yea not those. I joke with people and ask if they’re going to the gym afterwards	{'place_id': '011add077f4d2da3'}
156398352	2021-03-16T14:19:37.000Z	1371828504904531976	y’all seen episode 0 yet👀 iss out now. shoutout to the multitalented  ,  , and  for playing with us this week :) im so mad i aint get to go to the party 🙃 	{'coordinates': {'type': 'Point', 'coordinates': [-73.968928, 40.662451]}, 'place_id': '011add077f4d2da3'}
61346686	2021-03-16T13:33:43.000Z	1371816951631200259	 you didn’t go to my wedding as well if it’s any consolation to joe tocopina.😁	{'place_id': 'b87b05856ab8dbd8'}
175185360	2021-03-16T13:27:08.000Z	1371815295455789056	      0 0 0 Action Limousine inc     	{'place_id': 'dfa88de1ece1a505'}
175185360	2021-03-16T13:24:04.000Z	1371814525519941639	     0 0 0 Action Limousine inc     	{'place_id': 'dfa88de1ece1a505'}
175185360	2021-03-16T13:17:50.000Z	1371812956154048514	  @      0 0 0      @ Action Limousine Inc. 	{'coordinates': {'type': 'Point', 'coordinates': [-74.33206, 40.6502]}, 'place_id': '87c0309373176f40'}
299781563	2021-03-16T13:15:00.000Z	1371812245345296387	 ... I’ve been taking the subway since May: to the office when it opened, to the gym when it opened, to explore the city on weekends. The  has done a great job keeping the trains clean and safe!   I❤️NY!	{'place_id': '01a9a39529b27f36'}
1605615919	2021-03-16T12:53:47.000Z	1371806905899831296	Why come to the gym if you’re just gonna sit on a machine scrolling thru your phone? I don’t get people.	{'place_id': '00c39537733fa112'}
18961932	2021-03-16T12:52:11.000Z	1371806499484352516	thinking about that scene in the wedding planner when jlo comes home from work to an empty apartment    opens up a bunch of what look like dean and deluca prepared foods     puts them on a tray and sits down to eat in front of the tv with a glass of chardonnay	{'place_id': '011add077f4d2da3'}
1261614740910080000	2021-03-16T12:35:11.000Z	1371802225161429002	i find it very hard pressed to believe that unless you’re dating the brokest of broke hoes, a woman is gonna go on a date with you for free food 😂 	{'place_id': '00c39537733fa112'}
790359196629893120	2021-03-16T11:28:40.000Z	1371785481860562944	Literally using this as inspo for my wedding. Likeeee 😍😍😍 	{'place_id': '011add077f4d2da3'}
2752049423	2021-03-16T03:49:39.000Z	1371669967335227397	  Why don’t you wear your wedding ring on 	{'place_id': '2a9fc003f4101a1d'}
159665780	2021-03-16T03:22:59.000Z	1371663257681993729	 First, lemme find an African wedding (lol)	{'place_id': '01a9a39529b27f36'}
27771819	2021-03-16T02:53:11.000Z	1371655760090968067	I’m proud of our guys but you hate to see the game end on such a horrible call.	{'place_id': '002e24c6736f069d'}
50179868	2021-03-16T02:52:07.000Z	1371655488451059717	Porsha looked stunning for this wedding. Like drop dead gorgeous.	{'place_id': '01a9a39529b27f36'}
597548574	2021-03-16T02:41:52.000Z	1371652910111731716	planning a wedding is a lot of work. all these hours spent trying to find a way to formally request  to officiate and getting nowhere.	{'place_id': '011add077f4d2da3'}
701745098	2021-03-16T02:29:47.000Z	1371649869455183879	My wedding will be like this even if it’s small idc 😭 	{'place_id': '00c55f041e27dc51'}
50179868	2021-03-16T02:23:12.000Z	1371648212969402370	Watching RHOA finally and Cynthia is still stupid and selfish as hell for this wedding. It’s never this serious.	{'place_id': '01a9a39529b27f36'}
328584826	2021-03-16T01:47:01.000Z	1371639108037120001	Obviously I’m late to the party. That’s D’Antoni on the Nets bench? For why?	{'place_id': 'b46619b2722d9703'}
1107661872	2021-03-16T01:42:03.000Z	1371637857257988103	The bitches who come to the gym to be “cute” piss me off not even gone lie. They take up so many machines/floor space for no reason. Like bitch I’m here to sweat and grunt. Keep that cute shit in the crib. We tryna build BAWDIES miss mamas 😭	{'place_id': '011add077f4d2da3'}
65544386	2021-03-16T01:23:44.000Z	1371633246547611648	Girls when they look at my Twitter before we go on a date 	{'place_id': '011add077f4d2da3'}
780770584242204672	2021-03-16T00:30:59.000Z	1371619974108868612	Fellow brides, when did you notice the hormones kicking in? Like when did you start just only craving salads and waking up early to work out? I’m three months along and haven’t felt any yet!  	{'place_id': '011add077f4d2da3'}
1018855418381197314	2021-03-16T00:22:47.000Z	1371617909315895305	Do not, and I repeat, do not eat a whole salami and half cheese wheel then go to the gym. 	{'place_id': '01a9a39529b27f36'}
851267262191357953	2021-03-16T00:14:41.000Z	1371615869936226306	 I love Brittana’s kisses, but we unfortunately didn’t get any passionate ones except for the one before their wedding	{'place_id': '00c39537733fa112'}
49823753	2021-03-17T23:44:38.000Z	1372333084549472256	I need to block out all the thoughts I'm having about you know who's wedding since I want to keep this account	{'place_id': 'b046074b1030a44d'}
49823753	2021-03-17T23:42:32.000Z	1372332555429683211	 My wedding was my 0 friend my husband's bother and my dog. And a pastor I hired from the internet who had a wedding chapel inside a truck	{'place_id': 'b046074b1030a44d'}
781707789731115008	2021-03-17T22:43:03.000Z	1372317585891590145	Designing websites for engagement ring & wedding dress companies and now the algorithm thinks I’m getting married	{'place_id': '011add077f4d2da3'}
1071567038483701761	2021-03-17T22:22:30.000Z	1372312415136792577	  I Fucking LOVE Eating Out a BEAUTIFUL BUTT, I Love Getting Compliments on My Rimming Abilities & Would Like an Opportunity to Rim BOTH  &  WOOF 🔥	{'place_id': '011add077f4d2da3'}
