871561674960113665	2021-06-21T23:52:20.000Z	1407124257201610754	it wouldn’t be a normal house visit if my mom didn’t make me cry 🥲	{'place_id': 'cbd0e9b11700952c'}
227387336	2021-06-21T23:36:51.000Z	1407120359812472832	Mani and pedi time for this girl😘     	{'place_id': '49e33970d288757a'}
19103087	2021-06-21T22:46:30.000Z	1407107687641460738	 My friend was born in Canada but has an American green card. When he went back to visit his mom, he had to quarantine for 0 days. Not sure if the fact he was born in Canada helped him get in. I think this was in December.	{'place_id': '011add077f4d2da3'}
1896238357	2021-06-21T22:35:14.000Z	1407104854191915012	So who’s coming to visit me in ocean hill	{'place_id': '011add077f4d2da3'}
847894183117549572	2021-06-21T22:28:49.000Z	1407103239720341506	We are a team of more than 0,0 people bringing many perspectives to a singular purpose: improving the quality of life of every patient, every day. Explore a new career with Fresenius Medical Care.   	{'coordinates': {'type': 'Point', 'coordinates': [-73.7948516, 40.7282239]}, 'place_id': '00c39537733fa112'}
251341054	2021-06-21T22:27:36.000Z	1407102933825622018	  No, because only fully -vaccinated travelers are allowed to travel.	{'place_id': '00c39537733fa112'}
2599892616	2021-06-21T22:19:40.000Z	1407100937819279369	 Whenever I have time off I leave my house, just came back from Mexico and feel so refreshed and really to deal with the b.s. of work. If you can’t travel far, find a nice hotel, maybe with a pool for a day or two. Always need a fresh viewpoint to reset myself	{'place_id': '002e24c6736f069d'}
25114874	2021-06-21T21:35:40.000Z	1407089864621834244	Just one more place to visit while at Sheltair OCF. Check out Elevation 0 opening this Fall!  	{'place_id': '00c39537733fa112'}
34618846	2021-06-21T21:34:12.000Z	1407089492994019329	    You gotta link me to the other ways of hyper space travel but if it’s through black holes/tearing a whole thru space/time there’ll be traces	{'place_id': '00c39537733fa112'}
1361058761109086214	2021-06-21T21:05:59.000Z	1407082392964194306	 Get travel bags for your shoes then you can mix them & not worry about it.	{'place_id': '002e24c6736f069d'}
1145773612193988609	2021-06-21T20:58:59.000Z	1407080630324797444	 I wanna fly to la to see if i can be a pornstar just to say we co workers	{'place_id': '002e24c6736f069d'}
2382528217	2021-06-21T20:27:25.000Z	1407072687902572545	Update I got a visit from the landlord person Stewart management group rents from him & they don't have a maintenance crew this visit was different perfessional I feel like I may get results  	{'place_id': '002e24c6736f069d'}
2886488076	2021-06-21T20:09:44.000Z	1407068236768759811	I want kids and a family and I want to travel the world with them only downside is then I can’t shop lift at the airport anymore 😪	{'place_id': '00c39537733fa112'}
74828817	2021-06-21T20:08:49.000Z	1407068007709429763	Me and my boys doing one of our favorite things, trying a new pizzeria!😂 🍕Pizza exploring= travel?!?!🍕  @ Calabria Pizzeria & Restaurant 	{'coordinates': {'type': 'Point', 'coordinates': [-74.32620113, 40.77352749]}, 'place_id': '24661d47b426cdac'}
1972649192	2021-06-21T20:06:39.000Z	1407067462772871168	 Looking to fly to the yard	{'place_id': '002e24c6736f069d'}
81901250	2021-06-21T20:02:04.000Z	1407066308185841665	 Knowing your travel savvy, I presume you were able to get a decently priced rental out of EWR. :)	{'place_id': '00c39537733fa112'}
